time_s,time_min,n_alive,n_running,n_tumbling,n_near_substrate,frac_near_substrate,mean_tumble_prob,std_tumble_prob,mean_receptor_activity,mean_methylation,mean_distance_um,median_distance_um,mean_concentration,mean_x_um,mean_y_um,mean_z_um,std_z_um,total_consumption_mol
0.0,0.0,500,489,11,4,0.008,0.35,0.0,0.35,0.35,946.05809067877,971.086765066393,0.0005897052020690484,947.8356872705508,1018.2249206210236,991.6624128435188,562.9969371906082,2.988694745354207e-16
10.0,0.16666666666666666,500,483,17,5,0.01,0.35,0.0,0.35,0.35,951.3204867535882,968.918795414176,0.00047923944072581854,946.6199004627449,1025.3410374097512,984.2529505965628,561.4954420347798,5.754549370223066e-14
20.0,0.3333333333333333,500,480,20,4,0.008,0.35,0.0,0.35,0.35,953.4617533365534,971.2136163039866,0.0004357321522930084,949.1757610805038,1027.3791195213562,985.699073154062,565.8378691037034,1.1432057804042668e-13
30.0,0.5,500,483,17,4,0.008,0.35,0.0,0.35,0.35,952.6925679402414,973.023194675121,0.0004072147013338462,950.0030481068519,1029.1298101088469,980.0458745084538,560.8977233913678,1.7116546385933383e-13
40.0,0.6666666666666666,500,482,18,1,0.002,0.35,0.0,0.35,0.35,955.6659619181154,979.4919643651059,0.00037681923916514095,951.9943311320467,1039.1169996567326,979.1620997129954,564.7865434393699,2.277654931080728e-13
50.0,0.8333333333333334,500,478,22,1,0.002,0.35,0.0,0.35,0.35,957.3122842284002,976.8800849478416,0.0003633323207078549,958.700269424656,1044.1794851368616,975.0788118452983,567.6783555987139,2.839856569757914e-13
60.0,1.0,500,480,20,2,0.004,0.35,0.0,0.35,0.35,956.0467010484683,969.9750322147972,0.0003517338762364332,955.6644511849582,1040.9377929105594,968.004109106948,563.0436021328267,3.399404679443253e-13
70.0,1.1666666666666667,500,486,14,2,0.004,0.35,0.0,0.35,0.35,957.5752308867804,978.8997685266208,0.00033573984152369843,955.9843775134032,1050.4642044238276,963.5931986002846,565.0331371822041,3.957869350122328e-13
80.0,1.3333333333333333,500,486,14,2,0.004,0.35,0.0,0.35,0.35,960.6858496975142,978.0030480469768,0.0003224615542919419,958.445512465497,1055.9023920322445,957.2585795668177,565.8455885517395,4.5139871440479514e-13
90.0,1.5,500,489,11,1,0.002,0.35,0.0,0.35,0.35,966.9014860368158,994.618558136102,0.00029640824507214526,960.9784637000051,1056.391043395406,945.7222536288995,570.0168841470795,5.068188889934007e-13
100.0,1.6666666666666667,500,481,19,2,0.004,0.35,0.0,0.35,0.35,966.5200088848735,975.8811549404278,0.00028591070112827155,970.2475928156123,1056.0858084630506,942.5197239370372,572.3729914803234,5.614223611794773e-13
110.0,1.8333333333333333,500,478,22,2,0.004,0.35,0.0,0.35,0.35,959.2880057628341,983.5602011324322,0.0002853765239131705,972.4532166051658,1051.7958835572088,938.2274693714598,572.8154965045668,6.16648108460106e-13
120.0,2.0,500,484,16,4,0.008,0.35,0.0,0.35,0.35,953.8394410839721,974.7700011903202,0.0002822522101674089,978.5891561089526,1049.0644287724815,940.0019756558958,573.3912309466353,6.724684543440235e-13
130.0,2.1666666666666665,500,478,22,7,0.014,0.35,0.0,0.35,0.35,954.4451814305878,973.3018572711459,0.0002800617879292632,983.313752947459,1044.4923667185667,944.2580234827512,577.7158046546043,7.277669024166003e-13
140.0,2.3333333333333335,500,483,17,7,0.014,0.35,0.0,0.35,0.35,949.7510806466107,969.0605111129688,0.000277143096858939,984.7040590368302,1045.6808840007548,949.7837238658884,574.0531413743639,7.825306967722765e-13
150.0,2.5,500,475,25,4,0.008,0.35,0.0,0.35,0.35,951.626574402793,973.1525699889229,0.00026840261448790115,988.0593617709097,1041.239231398925,953.2179404941884,572.4087723980979,8.370827989856039e-13
160.0,2.6666666666666665,500,481,19,7,0.014,0.35,0.0,0.35,0.35,954.0917396206398,988.6299051704373,0.0002515465609974336,985.5650967657565,1036.6976443420567,946.3950146294866,570.7067927755305,8.916193805323903e-13
170.0,2.8333333333333335,500,484,16,3,0.006,0.35,0.0,0.35,0.35,953.1678781749157,979.1760744726216,0.00024527233328034835,987.8386881119167,1038.7483852921387,939.1363223661889,563.859382490394,9.462539886053831e-13
180.0,3.0,500,479,21,4,0.008,0.35,0.0,0.35,0.35,956.1024281583244,972.5199969283302,0.00024234617595492739,988.9168182260191,1035.2918931891732,932.1835911223462,563.4105775197179,1.0006635132026791e-12
190.0,3.1666666666666665,500,484,16,1,0.002,0.35,0.0,0.35,0.35,965.9307898738303,994.1367091458254,0.00021990494557411127,982.7255919763467,1032.5073431444125,925.8803816923794,567.7638417451308,1.0546537829744802e-12
200.0,3.3333333333333335,500,484,16,4,0.008,0.35,0.0,0.35,0.35,967.7058427624853,989.2382377297486,0.000216771339322719,986.0255893905559,1035.5943468404485,929.3821722515135,571.767743531902,1.1077909006094417e-12
210.0,3.5,500,487,13,5,0.01,0.35,0.0,0.35,0.35,968.6027769563378,998.0835589565057,0.000218703829846673,989.3061035272578,1036.4918490267512,926.1673332579167,576.9750458614214,1.1607351288608717e-12
220.0,3.6666666666666665,500,486,14,6,0.012,0.35,0.0,0.35,0.35,975.9511080952598,1012.2679157192802,0.00021843353722784508,983.81549919835,1030.6863377654631,923.8752627846308,579.3232075807542,1.2136768624808914e-12
230.0,3.8333333333333335,500,476,24,2,0.004,0.35,0.0,0.35,0.35,976.3702654974285,1011.9044281316194,0.00019443639842101458,983.4364072515411,1022.3702209454808,929.7487900508879,579.4811486034597,1.2663957318780402e-12
240.0,4.0,500,484,16,2,0.004,0.35,0.0,0.35,0.35,970.5768039610975,1002.157710686831,0.00019748495636507683,984.235396358631,1027.5139015502816,934.6472369787725,574.4939164851158,1.3196589045694146e-12
250.0,4.166666666666667,500,484,16,2,0.004,0.35,0.0,0.35,0.35,962.0641160233847,988.742628399202,0.0002025436084924772,983.4263717011223,1030.6438469917962,930.6924873417621,568.8197445422672,1.3730264041839504e-12
260.0,4.333333333333333,500,487,13,5,0.01,0.35,0.0,0.35,0.35,953.9696128416498,972.5727170563501,0.00021372307016626925,990.7744574854657,1036.0471309219834,930.6940079995378,562.5423909437527,1.4266635527507493e-12
270.0,4.5,500,484,16,6,0.012,0.35,0.0,0.35,0.35,957.5273183231824,988.86351347267,0.0002017399652073285,997.3465716095044,1037.0640165041207,931.4266010820243,568.3100633726283,1.4802645482646831e-12
280.0,4.666666666666667,500,483,17,4,0.008,0.35,0.0,0.35,0.35,956.2576763089456,974.6373429007494,0.00019481164247292965,999.1495035371111,1032.9341535417905,935.2450156760465,568.6625601558052,1.5334601964472838e-12
290.0,4.833333333333333,500,478,22,4,0.008,0.35,0.0,0.35,0.35,955.1753535080077,977.1499774196006,0.0001944838138701716,1002.0248908876464,1034.0596285396582,942.043257666076,573.5809054696258,1.586882943053092e-12
300.0,5.0,500,493,7,1,0.002,0.35,0.0,0.35,0.35,960.2007665090035,979.6002653208714,0.00018235276508382796,1007.7856233484,1022.7513826887723,940.8624078240382,578.8469949063978,1.6395899806575673e-12
310.0,5.166666666666667,500,486,14,2,0.004,0.35,0.0,0.35,0.35,966.6613167988339,982.6007354007769,0.00017309865721882087,1004.4547497609987,1008.357417055806,938.0666784421379,581.9353051618564,1.6926362919407757e-12
320.0,5.333333333333333,500,485,15,1,0.002,0.35,0.0,0.35,0.35,970.3964670585309,987.217237142385,0.0001643053368155581,995.744114803842,1011.7692252261035,932.8091138759387,583.040716022686,1.7452305472037411e-12
330.0,5.5,500,486,14,2,0.004,0.35,0.0,0.35,0.35,968.7459651214471,979.8411356655814,0.00016625607614705607,994.0848236785356,1017.9340585267829,940.6369609937283,581.259336003611,1.7981455760141287e-12
340.0,5.666666666666667,500,485,15,3,0.006,0.35,0.0,0.35,0.35,973.9203207297918,980.9695202516203,0.0001713202659428855,994.0172873555591,1018.4804836606552,943.0050602815518,588.295931244048,1.8507639841592885e-12
350.0,5.833333333333333,500,481,19,3,0.006,0.35,0.0,0.35,0.35,974.243133649161,995.683979876834,0.00016926063388807012,993.2372725996702,1018.1913090316658,951.1027933623308,593.0949917700893,1.903168621790925e-12
360.0,6.0,500,482,18,7,0.014,0.35,0.0,0.35,0.35,975.7117885957578,984.2828148992587,0.00016767413341621133,1000.5066850168985,1015.6139378206799,955.0867802834157,596.4760245537356,1.9550477192680997e-12
370.0,6.166666666666667,500,479,21,5,0.01,0.35,0.0,0.35,0.35,975.5514228788122,994.6344372452785,0.00017320444078963422,1005.7140117319058,1024.2837231539977,955.9719932607735,597.1269170610245,2.0068983111889725e-12
380.0,6.333333333333333,500,487,13,5,0.01,0.35,0.0,0.35,0.35,971.3130321547495,990.5272199131724,0.00017021939687049425,1006.9127637800121,1018.0405473689115,948.8628896133371,591.2890326183774,2.0594364004451854e-12
390.0,6.5,500,480,20,3,0.006,0.35,0.0,0.35,0.35,972.5025393129256,1010.229543294315,0.0001611815304097677,1003.7714145002572,1020.2527714398874,949.8348224670441,592.6438091504357,2.1116039904367984e-12
400.0,6.666666666666667,500,481,19,4,0.008,0.35,0.0,0.35,0.35,972.3776244008029,995.7572711421386,0.0001634268768939842,1004.6366146606027,1022.9869425173632,952.8826621683024,594.4636037348906,2.163006164261501e-12
410.0,6.833333333333333,500,484,16,3,0.006,0.35,0.0,0.35,0.35,964.8824427818284,983.1192885285259,0.000181441733166129,1001.9615076088137,1026.6552222740477,957.1329372507936,594.7168629381808,2.214287152494436e-12
420.0,7.0,500,481,19,7,0.014,0.35,0.0,0.35,0.35,966.4987947664691,986.4796958935743,0.00016630762944422076,998.0401203566475,1026.3707696507581,958.9243350670973,595.1427796145321,2.2655132371568803e-12
430.0,7.166666666666667,500,483,17,4,0.008,0.35,0.0,0.35,0.35,968.9853538797147,987.3548242762364,0.00015759151512520763,996.0714352485835,1025.5924971876711,953.6547814023041,592.3475906642759,2.3164137934855645e-12
440.0,7.333333333333333,500,485,15,3,0.006,0.35,0.0,0.35,0.35,971.6868164535002,990.4398098847962,0.00014773959376620702,993.8441885947033,1029.228056132793,949.5945256877959,593.0123130694512,2.3677831508362296e-12
450.0,7.5,500,483,17,3,0.006,0.35,0.0,0.35,0.35,969.7111076665844,1000.0895016437441,0.0001474099021458201,995.1286545093604,1031.1469771420602,951.4630776059643,590.7856560626421,2.4196720588328833e-12
460.0,7.666666666666667,500,486,14,5,0.01,0.35,0.0,0.35,0.35,969.4992672078621,984.6276196886677,0.00015109873546192366,1000.4171156915756,1039.3387927979031,954.0572610491571,596.7425872771862,2.471414741802257e-12
470.0,7.833333333333333,500,479,21,5,0.01,0.35,0.0,0.35,0.35,966.8381947725462,1000.3953945031105,0.00015875253423844421,1005.2385623478524,1039.4762835943923,947.8276419081461,594.9703215581604,2.5228376943208122e-12
480.0,8.0,500,480,20,3,0.006,0.35,0.0,0.35,0.35,968.1892527719424,994.0667168110699,0.00016064778015424522,998.8850511448485,1036.4844801673273,947.7682324916506,594.379803388048,2.5741684487745255e-12
490.0,8.166666666666666,500,480,20,5,0.01,0.35,0.0,0.35,0.35,960.6411858282091,988.3284637918925,0.00015691496230118334,997.4305584022694,1034.7626466595723,948.529484069084,592.4596991988343,2.62594557481662e-12
500.0,8.333333333333334,500,486,14,4,0.008,0.35,0.0,0.35,0.35,964.307392659581,986.678401075067,0.0001528803249844238,993.7446321738664,1037.2309118251524,956.5852150606597,592.280718705784,2.6774912874816583e-12
510.0,8.5,500,483,17,1,0.002,0.35,0.0,0.35,0.35,966.7382791999812,966.0886085022773,0.00014418001732027213,990.6159637594733,1040.9763964184067,950.1106326071153,593.6826805526647,2.7287751306448118e-12
520.0,8.666666666666666,500,483,17,5,0.01,0.35,0.0,0.35,0.35,964.2567080978697,977.680539835414,0.00015269554865595007,995.1909499885815,1049.638233572111,949.3004621630446,588.8324525712884,2.7795375088359823e-12
530.0,8.833333333333334,500,484,16,5,0.01,0.35,0.0,0.35,0.35,955.3879218803827,970.4852731587,0.00015307168029901258,996.6190271246127,1048.5629593581623,946.535285194017,579.5858160254722,2.8310583863024425e-12
540.0,9.0,500,487,13,4,0.008,0.35,0.0,0.35,0.35,953.3804287113825,979.1790252502218,0.00015174846384268315,994.768582772507,1052.589773066667,950.226803532592,581.1694362921648,2.8824396048399834e-12
550.0,9.166666666666666,500,478,22,1,0.002,0.35,0.0,0.35,0.35,959.1936824855295,988.9939545906848,0.0001449230997096788,1001.239373092916,1047.4612832617001,959.0754551029921,587.4085391079959,2.9336639360248753e-12
560.0,9.333333333333334,500,488,12,2,0.004,0.35,0.0,0.35,0.35,955.4898381792314,977.9012331142491,0.00014574916864349484,1007.1111285789017,1040.662593152968,968.3079485335181,580.9618672426992,2.985283004682017e-12
570.0,9.5,500,472,28,1,0.002,0.35,0.0,0.35,0.35,948.0884994897963,964.8163506899003,0.00015094444045058643,1010.7766260832552,1035.0605974601478,964.6568480488047,573.3666703066234,3.0371720170142033e-12
580.0,9.666666666666666,500,492,8,4,0.008,0.35,0.0,0.35,0.35,941.4066831921068,974.8260079317918,0.00015815700104342072,1020.9489339865532,1031.166332936389,962.8571316505014,565.8369374450608,3.0893300686079693e-12
590.0,9.833333333333334,500,479,21,4,0.008,0.35,0.0,0.35,0.35,947.7548814494681,989.1710577578821,0.0001571185051434108,1017.7478403435672,1029.9367485376858,965.379435681555,573.4130771730697,3.1415062184861424e-12
600.0,10.0,500,482,18,5,0.01,0.35,0.0,0.35,0.35,949.960643997455,976.670185116469,0.00016890160999337924,1009.3436750081563,1027.6819350792875,959.6933553769802,575.0126373235555,3.1937852906159986e-12
610.0,10.166666666666666,500,484,16,5,0.01,0.35,0.0,0.35,0.35,954.8021029964091,977.7480008513546,0.00014936584490272804,1002.7485959509712,1025.2693254009073,945.874991041597,575.8118457415651,3.2456686098544113e-12
620.0,10.333333333333334,500,485,15,4,0.008,0.35,0.0,0.35,0.35,950.6555039641671,972.4098239104687,0.00015718756780296395,992.1684350058825,1024.1828205117029,944.824812489552,576.8161678980538,3.2977808467897926e-12
630.0,10.5,500,487,13,6,0.012,0.35,0.0,0.35,0.35,953.7617933607963,977.721822701959,0.00015143918960610353,986.251940731967,1022.673236318651,944.1821446260445,580.2712919906419,3.3498707121974633e-12
640.0,10.666666666666666,500,482,18,5,0.01,0.35,0.0,0.35,0.35,959.1393636995133,980.0045470748703,0.0001425684842772397,982.3320316398884,1023.84882451436,934.7005850244595,583.08172367404,3.400756565867988e-12
650.0,10.833333333333334,500,480,20,2,0.004,0.35,0.0,0.35,0.35,956.9060280944128,978.9416591940792,0.000140822807704215,981.468900445637,1030.1947295766747,934.6713780911493,584.7035783942478,3.451616733963674e-12
660.0,11.0,500,485,15,3,0.006,0.35,0.0,0.35,0.35,957.3738250370501,982.5399995690436,0.00014427857608194743,987.4564935804106,1025.8355534945651,936.5097086942633,582.9662947433039,3.5022290882187787e-12
670.0,11.166666666666666,500,479,21,4,0.008,0.35,0.0,0.35,0.35,966.2652927501406,996.7460590347583,0.00014354452596338255,994.5002121173025,1016.363582482687,932.4751103608213,590.8414734175791,3.552395123585645e-12
680.0,11.333333333333334,500,487,13,4,0.008,0.35,0.0,0.35,0.35,964.8403812414497,1003.7583094145486,0.00014320001460647107,983.2763197876418,1015.212982420171,936.090509431518,587.8973701342975,3.603142382924614e-12
690.0,11.5,500,486,14,6,0.012,0.35,0.0,0.35,0.35,965.4896381308544,995.4881257500945,0.00015776264323813294,986.4739515680276,1015.0310564161456,939.6221506883398,589.6460526298221,3.654390435509552e-12
700.0,11.666666666666666,500,484,16,5,0.01,0.35,0.0,0.35,0.35,972.0600298616348,996.513602228371,0.0001398624846641574,987.9404820208532,1013.0889703520562,941.3687158952639,592.2278698636677,3.705105141369287e-12
710.0,11.833333333333334,500,483,17,3,0.006,0.35,0.0,0.35,0.35,968.8877781205168,1013.0155094872919,0.0001364885400577325,982.136462676292,1014.197206801671,938.6898128506652,588.515980813962,3.756052514276857e-12
720.0,12.0,500,478,22,2,0.004,0.35,0.0,0.35,0.35,969.516047043789,1017.2259785004869,0.00014161577610035335,978.1183674214013,1014.229169013067,941.6094913987585,588.6543289097082,3.807418041773231e-12
730.0,12.166666666666666,500,481,19,3,0.006,0.35,0.0,0.35,0.35,963.4786055209202,1005.2113119851357,0.00013892624325535276,978.0037424444658,1020.6951449566071,942.4253049205955,580.8377160179288,3.8587143266918504e-12
740.0,12.333333333333334,500,487,13,5,0.01,0.35,0.0,0.35,0.35,957.013943834885,990.2449830511166,0.0001412032232086898,986.5733865875907,1022.8263855170743,952.7522042650664,578.8235613358116,3.909641315599222e-12
750.0,12.5,500,489,11,4,0.008,0.35,0.0,0.35,0.35,951.5877614421548,974.4938373000269,0.00014703619423056291,988.7058701849604,1024.1067070165775,954.1935895137799,570.8267799386143,3.960809505798085e-12
760.0,12.666666666666666,500,487,13,3,0.006,0.35,0.0,0.35,0.35,952.0799765028557,976.2250002704145,0.00013904084319871227,993.5349133966932,1021.5088459519997,954.6549491594387,568.1580675085773,4.012307382317159e-12
770.0,12.833333333333334,500,483,17,4,0.008,0.35,0.0,0.35,0.35,952.5834165872864,988.9065749873174,0.00013966627350210954,991.589830761953,1012.7130263584644,947.7892186180185,569.8704567152134,4.064336380939182e-12
780.0,13.0,500,488,12,4,0.008,0.35,0.0,0.35,0.35,950.3851532536733,985.1305422607312,0.00015164135005700375,990.247267956645,1020.7334686932381,943.2593776323113,573.0873314767392,4.115610460747291e-12
790.0,13.166666666666666,500,479,21,2,0.004,0.35,0.0,0.35,0.35,950.5352481689688,969.4717638705891,0.00014141785545689599,984.0434063730298,1026.8410312573715,936.3218004861251,576.3887614075185,4.167577004507283e-12
800.0,13.333333333333334,500,485,15,2,0.004,0.35,0.0,0.35,0.35,958.310771033758,993.8263569624986,0.00013832642153807645,979.1947136662928,1022.6425228091781,936.107260953646,583.1587369461913,4.2188544612735126e-12
810.0,13.5,500,482,18,2,0.004,0.35,0.0,0.35,0.35,950.2094057210367,978.3339332471559,0.00014800892906604636,983.5055558933548,1018.6330498076959,945.9572369372629,580.5423596702419,4.270539283828607e-12
820.0,13.666666666666666,500,482,18,7,0.014,0.35,0.0,0.35,0.35,957.2713002897026,979.8684832624184,0.00016090499659908471,985.1638002864064,1016.6581955399524,956.3913662861253,581.8531688348867,4.322025327743487e-12
830.0,13.833333333333334,500,481,19,6,0.012,0.35,0.0,0.35,0.35,961.6698574021965,1002.4547926088976,0.0001585179955089655,988.8015725803909,1013.7684623228282,952.7909779281335,588.3553165557787,4.372724209981023e-12
840.0,14.0,500,475,25,5,0.01,0.35,0.0,0.35,0.35,954.520066976287,983.6938716708803,0.00015400137320944462,997.5597120969819,1007.3554412957817,950.1351626528312,585.2105525640685,4.423525435104358e-12
850.0,14.166666666666666,500,492,8,3,0.006,0.35,0.0,0.35,0.35,954.5758280102585,975.7412523869807,0.00014455781331532063,998.6298560496398,1011.6248693800723,944.7511975946668,585.7122606561298,4.474536697418427e-12
860.0,14.333333333333334,500,482,18,2,0.004,0.35,0.0,0.35,0.35,956.2937900598957,991.1488922195648,0.0001324630493887659,996.7070666799074,1010.5270445522395,948.5947339094009,588.9192274407534,4.5255245083794245e-12
870.0,14.5,500,486,14,1,0.002,0.35,0.0,0.35,0.35,953.9672875588441,980.0215848100495,0.00012956066315635118,997.8926413130549,1004.4681919791688,953.5546546125667,585.7991611089336,4.577002691775568e-12
880.0,14.666666666666666,500,481,19,2,0.004,0.35,0.0,0.35,0.35,951.2147011005175,985.3181400021846,0.0001421852692959415,1000.0483990919378,1001.3657439905952,960.1932324504445,589.3336655909159,4.628934246964397e-12
